,Id,MSSubClass,MSZoning,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtFinType1,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,SalePrice,OverallCond_bin,FullBath_bin,ExterQual_bin,KitchenQual_bin
29,586,20,RL,Timber,1Story,8,2005,2006,VinylSd,VinylSd,BrkFace,PConc,Ex,GLQ,2028,7,2,Attchd,RFn,3,880,369900,1,1,0,0
30,599,20,RL,Crawfor,1Story,5,1977,1977,Plywood,Plywood,BrkFace,CBlock,Gd,ALQ,1647,7,1,Attchd,Fin,2,621,217500,0,1,1,0
31,754,60,RL,NridgHt,2Story,8,2005,2005,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,2098,8,1,Attchd,RFn,3,878,275500,1,1,0,0
32,884,75,RL,SWISU,2.5Fin,4,1912,1950,Wd Sdng,Wd Sdng,None,PConc,TA,Unf,2230,10,0,Detchd,Unf,1,440,118500,1,0,0,1
33,947,80,RL,NAmes,SLvl,5,1959,1959,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,1144,6,1,Attchd,RFn,1,796,143000,0,0,1,1
34,970,190,RL,NAmes,SLvl,6,1958,1958,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,1095,6,0,Attchd,RFn,1,264,140000,1,0,1,1
35,1078,20,RL,NAmes,1Story,5,1969,1969,VinylSd,Plywood,None,CBlock,TA,BLQ,1096,6,0,Attchd,Fin,1,299,138800,1,0,1,1
36,1084,20,RL,NAmes,1Story,6,1964,1964,HdBoard,HdBoard,BrkFace,CBlock,TA,BLQ,1251,6,2,Attchd,RFn,1,461,160000,0,0,1,1
37,1186,50,RL,Edwards,1.5Fin,5,1924,1950,AsbShng,AsbShng,None,BrkTil,TA,BLQ,1221,7,0,Attchd,Unf,1,392,104900,0,0,1,1
38,1239,20,RL,SawyerW,1Story,6,2005,2005,VinylSd,VinylSd,None,PConc,Gd,Unf,1141,6,0,Detchd,Unf,2,484,142500,1,0,0,1
39,1247,60,FV,Somerst,2Story,7,2005,2006,VinylSd,VinylSd,None,PConc,Gd,Unf,1553,6,0,Attchd,RFn,2,615,186500,1,1,0,0
40,1252,120,RL,NridgHt,1Story,7,2003,2003,VinylSd,Wd Shng,Stone,PConc,Gd,Unf,1405,6,1,Attchd,RFn,2,478,171750,1,1,0,0
41,1266,160,FV,Somerst,2Story,7,1999,1999,MetalSd,MetalSd,BrkFace,PConc,Gd,GLQ,1452,6,0,Detchd,Unf,2,506,183900,1,1,0,0
42,1294,60,RL,NWAmes,2Story,7,1976,1976,HdBoard,HdBoard,None,PConc,Gd,GLQ,1664,8,1,Attchd,RFn,2,528,162900,1,1,1,1
43,1338,30,RM,OldTown,1Story,4,1941,1950,Wd Sdng,Wd Sdng,None,CBlock,TA,Unf,693,4,0,Attchd,Unf,0,0,52500,0,0,1,1
44,86,60,RL,NoRidge,2Story,8,1991,1992,HdBoard,HdBoard,BrkFace,CBlock,Gd,Unf,2417,9,1,Attchd,Unf,2,462,260000,1,1,0,0
45,146,160,RM,Edwards,2Story,6,2004,2006,VinylSd,VinylSd,Stone,PConc,Gd,Unf,1709,7,0,Detchd,Unf,2,380,130000,1,1,0,0
46,150,50,RM,BrkSide,1.5Fin,5,1936,1950,MetalSd,MetalSd,None,BrkTil,Gd,Unf,1344,7,0,Detchd,Unf,1,240,115000,0,0,1,1
47,221,20,RL,CollgCr,1Story,7,2006,2006,VinylSd,VinylSd,None,PConc,Gd,Unf,1498,5,0,Attchd,RFn,2,675,204900,1,1,0,0
48,243,50,RM,OldTown,1.5Fin,5,1900,1950,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,1440,6,0,Attchd,Unf,1,352,79000,0,0,1,1
49,247,190,RM,OldTown,2Story,6,1910,1950,AsbShng,AsbShng,None,Stone,Fa,Unf,1928,9,0,Detchd,Unf,1,440,137000,0,1,1,1
50,328,20,RL,NAmes,1Story,6,1960,1960,Wd Sdng,Wd Sdng,BrkFace,CBlock,TA,Rec,1383,7,0,Attchd,RFn,1,292,145250,1,0,1,1
51,350,60,RL,NridgHt,2Story,9,2005,2006,CemntBd,CmentBd,BrkFace,PConc,Ex,GLQ,2728,10,2,Attchd,Fin,3,706,437154,1,1,0,0
52,394,30,RL,BrkSide,1Story,4,1941,1950,WdShing,Wd Shng,None,CBlock,TA,Rec,788,4,2,Attchd,Unf,0,0,100000,1,0,1,1
53,526,20,FV,Somerst,1Story,7,2005,2005,VinylSd,VinylSd,None,PConc,Gd,Unf,1266,6,1,Attchd,Unf,2,453,176000,1,1,0,0
54,562,20,RL,Mitchel,1Story,5,1974,1975,HdBoard,HdBoard,None,CBlock,Gd,ALQ,1389,6,1,Attchd,RFn,2,418,170000,1,0,1,1
55,693,60,RL,Timber,2Story,7,1989,1990,MetalSd,MetalSd,BrkFace,PConc,Gd,GLQ,2519,9,2,Attchd,RFn,2,628,335000,1,1,0,0
56,765,120,RL,Veenker,1Story,8,1995,1996,BrkFace,BrkFace,None,PConc,Gd,LwQ,1494,6,1,Attchd,Fin,2,481,270000,1,0,0,0
57,772,20,RL,Edwards,1Story,4,1951,1951,Wd Sdng,Wd Sdng,None,CBlock,Fa,LwQ,1220,6,0,Detchd,Unf,2,396,102000,1,0,1,1
58,897,30,RM,IDOTRR,1Story,4,1936,1950,Wd Sdng,Wd Sdng,None,BrkTil,TA,ALQ,951,6,0,Detchd,Unf,1,327,106500,0,0,1,1
59,976,160,FV,Somerst,2Story,7,2000,2000,MetalSd,MetalSd,None,PConc,Gd,GLQ,1382,6,0,Detchd,Unf,2,490,165000,1,1,0,0
60,1020,120,RL,Blmngtn,1Story,7,2005,2005,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1506,6,1,Attchd,Fin,2,440,213490,1,1,0,0
61,1077,50,RL,OldTown,1.5Fin,5,1936,1989,Wd Sdng,Wd Sdng,None,CBlock,Fa,ALQ,1466,7,1,Attchd,Unf,2,566,170000,0,1,1,0
62,1089,160,RM,Edwards,2Story,7,2004,2004,VinylSd,VinylSd,Stone,PConc,Gd,Unf,1709,7,0,Detchd,Unf,2,380,137500,1,1,0,0
63,1090,120,FV,Somerst,1Story,8,2005,2005,MetalSd,MetalSd,None,PConc,Gd,GLQ,1247,4,1,Attchd,Fin,2,550,197000,1,0,0,0
64,1180,20,RL,Edwards,1Story,5,1954,1954,Wd Sdng,Wd Sdng,None,Slab,TA,Unf,1124,5,1,Attchd,Unf,0,0,93000,1,0,1,1
65,1181,60,RL,Timber,2Story,7,1990,1991,MetalSd,MetalSd,None,Wood,Gd,LwQ,2514,8,0,Attchd,Fin,2,693,250000,1,1,1,1
66,1220,160,RM,BrDale,2Story,6,1971,1971,CemntBd,CmentBd,BrkFace,CBlock,TA,Unf,1218,7,0,Attchd,Unf,0,0,91500,1,0,1,1
67,1295,20,RL,Edwards,1Story,5,1955,1990,WdShing,Plywood,None,CBlock,TA,Rec,864,5,0,Detchd,Unf,2,572,115000,0,0,1,1
68,1304,20,RL,Somerst,1Story,7,2005,2005,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,1616,7,0,Attchd,RFn,3,834,232000,1,1,0,0
69,1305,160,RM,Edwards,2Story,7,2004,2004,VinylSd,VinylSd,Stone,PConc,Gd,Unf,1708,7,0,Detchd,Unf,2,380,130000,1,1,0,0
70,1365,160,FV,Somerst,2Story,7,2005,2005,MetalSd,MetalSd,None,PConc,Gd,Unf,1200,4,0,Detchd,RFn,2,480,144152,1,1,0,0
71,45,20,RL,NAmes,1Story,5,1959,1959,BrkFace,Wd Sdng,None,CBlock,TA,ALQ,1150,6,0,Attchd,RFn,1,300,141000,0,0,1,1
72,61,20,RL,SawyerW,1Story,6,2004,2004,VinylSd,VinylSd,None,PConc,Gd,ALQ,1158,5,0,Detchd,Unf,2,576,158000,1,0,1,0
73,131,60,RL,NAmes,2Story,7,1966,1966,MetalSd,MetalSd,BrkFace,CBlock,TA,Rec,2157,8,2,Attchd,Fin,2,487,226000,0,1,1,0
74,194,160,RM,Edwards,2Story,7,2004,2004,VinylSd,VinylSd,Stone,PConc,Gd,Unf,1709,7,0,Detchd,Unf,2,380,130000,1,1,0,0
75,203,50,RL,OldTown,1.5Fin,6,1924,1950,MetalSd,MetalSd,None,BrkTil,Fa,LwQ,1310,6,0,Attchd,Unf,1,398,112000,0,1,1,1
76,216,20,RL,NAmes,1Story,5,1957,1996,HdBoard,HdBoard,BrkFace,CBlock,TA,BLQ,1236,6,1,Attchd,Unf,1,447,134450,0,0,1,0
77,282,20,FV,Somerst,1Story,6,2006,2006,VinylSd,VinylSd,Stone,PConc,Gd,GLQ,1262,5,0,Attchd,Fin,2,572,185000,1,1,0,0
78,311,60,RL,Gilbert,2Story,6,1993,1994,HdBoard,HdBoard,BrkFace,PConc,Gd,ALQ,1501,6,1,Attchd,Fin,2,420,165600,1,1,1,0
79,313,190,RM,OldTown,1.5Fin,5,1939,1950,MetalSd,MetalSd,None,CBlock,Gd,Rec,1118,5,1,Detchd,Unf,2,410,119900,0,0,1,1
80,339,20,RL,NWAmes,1Story,7,1984,1998,Wd Sdng,Wd Sdng,None,CBlock,Gd,ALQ,1621,8,0,Attchd,RFn,2,440,202500,0,1,0,0
81,343,90,RL,NAmes,1Story,3,1949,1950,Stucco,Stucco,BrkFace,Slab,TA,Unf,1040,6,0,Detchd,Unf,2,400,87500,0,1,1,1
82,387,50,RL,Edwards,1.5Fin,5,1910,1996,Wd Sdng,VinylSd,None,PConc,TA,Unf,1184,8,0,Attchd,Unf,0,0,81000,0,0,1,1
83,466,120,RM,Blmngtn,1Story,7,2004,2004,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,1414,6,1,Attchd,Fin,2,398,178740,1,1,0,0
84,484,120,RM,Mitchel,1Story,6,1998,1998,VinylSd,VinylSd,BrkFace,PConc,Ex,GLQ,1216,5,0,Attchd,Unf,2,402,164000,1,1,1,1
85,489,190,RL,OldTown,1.5Fin,5,1900,1970,Wd Sdng,Wd Sdng,None,CBlock,TA,BLQ,2414,10,1,Attchd,Unf,2,520,160000,0,1,1,1
86,493,60,RL,Gilbert,2Story,6,2006,2006,VinylSd,VinylSd,None,PConc,Gd,Unf,1456,8,0,Attchd,RFn,2,429,172785,1,1,0,1
87,557,20,RL,NAmes,1Story,5,1957,1957,Wd Sdng,Wd Sdng,None,CBlock,TA,Rec,1092,6,1,Attchd,Fin,1,299,141000,1,0,1,1
88,578,80,RL,Sawyer,SLvl,5,1966,1966,VinylSd,VinylSd,BrkFace,CBlock,TA,LwQ,1320,6,2,Attchd,RFn,2,564,164500,0,0,1,1
89,677,70,RM,OldTown,2Story,4,1900,1950,AsbShng,Stucco,None,BrkTil,TA,Unf,1774,8,0,2Types,Unf,3,779,87000,0,1,1,1
90,701,20,RL,Timber,1Story,8,2002,2002,VinylSd,VinylSd,BrkFace,PConc,Ex,GLQ,1800,7,1,Attchd,Fin,3,765,312500,1,1,0,0
91,714,190,RL,BrkSide,1Story,4,1970,1970,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,960,6,0,Detchd,Unf,2,576,129000,1,0,1,1
92,720,20,RL,CollgCr,1Story,5,1969,1969,HdBoard,Plywood,None,CBlock,Gd,ALQ,971,5,1,Attchd,Unf,1,300,128500,0,0,1,1
93,780,90,RL,Mitchel,SFoyer,6,1977,1977,Plywood,ImStucc,BrkFace,CBlock,Gd,GLQ,1004,4,0,Attchd,Unf,2,504,135000,1,0,1,1
94,852,120,RL,Blmngtn,1Story,8,2003,2003,VinylSd,VinylSd,BrkFace,PConc,Gd,Unf,1456,7,1,Attchd,Fin,2,400,215000,1,1,0,0
95,869,60,RL,Gilbert,2Story,5,1948,1950,Plywood,Plywood,None,Slab,TA,Unf,2320,7,1,Attchd,Unf,2,672,169000,0,1,1,1
96,925,20,RL,NWAmes,1Story,6,1980,1980,Plywood,Plywood,BrkFace,CBlock,Gd,BLQ,1686,7,1,Attchd,Unf,2,612,207500,0,1,1,1
97,999,30,RM,IDOTRR,1Story,3,1922,1950,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,1077,6,1,Detchd,Unf,1,210,91000,0,0,1,1
98,1030,160,RM,BrDale,2Story,6,1972,1972,HdBoard,HdBoard,BrkFace,CBlock,TA,BLQ,1218,7,0,Detchd,Unf,1,264,118000,0,0,1,1
99,1079,120,RM,CollgCr,1Story,6,2004,2004,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,848,3,1,Attchd,RFn,2,420,155900,1,0,0,0
100,1147,20,RL,SawyerW,1Story,6,1985,1985,Wd Sdng,Wd Shng,BrkFace,CBlock,Gd,GLQ,1298,5,1,Attchd,Unf,2,403,180000,1,1,0,0
101,1208,20,RL,CollgCr,1Story,6,2003,2003,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1700,7,0,Attchd,RFn,2,544,200000,1,1,0,0
102,1210,20,RL,Somerst,1Story,8,2006,2006,VinylSd,VinylSd,Stone,PConc,Ex,GLQ,1660,8,1,Attchd,RFn,2,500,290000,1,1,0,0
103,1214,80,RL,Sawyer,SLvl,4,1965,2001,VinylSd,VinylSd,None,CBlock,TA,GLQ,960,3,0,Attchd,Unf,1,364,145000,0,0,1,1
104,1215,85,RL,NAmes,SFoyer,5,1962,1962,MetalSd,MetalSd,None,CBlock,TA,BLQ,999,6,0,Attchd,Unf,1,300,134500,1,0,1,1
105,1232,90,RL,NAmes,SLvl,5,1962,1962,Wd Sdng,Wd Sdng,BrkFace,CBlock,TA,ALQ,1190,6,0,Attchd,Unf,2,540,132500,0,0,1,1
106,1421,60,RL,NWAmes,2Story,6,1968,1968,HdBoard,HdBoard,BrkFace,CBlock,TA,ALQ,1416,7,1,Attchd,RFn,2,776,179900,0,1,1,1
107,1435,20,RL,Mitchel,1Story,5,1977,1977,BrkFace,BrkFace,None,CBlock,TA,ALQ,1126,5,1,Attchd,RFn,2,484,160000,1,1,1,1
108,1453,180,RM,Edwards,SLvl,5,2005,2005,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1072,5,0,Basment,Fin,2,525,145000,1,0,1,1
109,126,190,RM,IDOTRR,1.5Fin,6,1935,1982,Wd Sdng,Wd Sdng,None,CBlock,TA,GLQ,754,5,0,Attchd,Unf,0,0,84500,0,0,1,1
110,153,60,RL,NWAmes,2Story,6,1971,1971,HdBoard,HdBoard,BrkFace,CBlock,TA,Rec,1993,8,1,Attchd,RFn,2,495,190000,1,1,1,1
111,157,20,RL,NAmes,1Story,5,1950,1950,Wd Sdng,Wd Sdng,None,CBlock,TA,Unf,1040,5,0,Detchd,Unf,2,625,109500,0,0,1,1
112,173,160,RL,StoneBr,2Story,7,1987,1987,HdBoard,HdBoard,None,PConc,Gd,GLQ,1767,5,1,Attchd,RFn,2,504,239000,0,1,0,0
113,185,50,RL,BrkSide,1.5Fin,5,1908,1991,AsbShng,Plywood,None,PConc,Fa,Unf,1252,5,0,Attchd,Unf,2,576,127000,0,0,1,1
114,186,75,RM,OldTown,2.5Fin,10,1892,1993,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,3608,12,2,Detchd,Unf,3,840,475000,0,1,0,0
115,233,160,RM,BrDale,2Story,6,1972,1972,HdBoard,HdBoard,BrkFace,CBlock,TA,Unf,987,5,1,Attchd,Unf,1,288,94500,1,0,1,1
116,246,20,RL,NWAmes,1Story,7,1988,1988,Wd Sdng,Wd Sdng,BrkFace,CBlock,Gd,GLQ,1872,6,1,Attchd,Fin,2,604,241500,1,1,1,1
117,248,20,RL,NAmes,1Story,6,1954,1954,Wd Sdng,BrkFace,None,CBlock,TA,Unf,1375,5,1,Attchd,Unf,2,451,140000,1,0,1,1
118,267,60,RL,Gilbert,2Story,6,1997,1997,VinylSd,VinylSd,None,PConc,Gd,GLQ,1511,8,1,Attchd,Fin,2,413,185000,1,1,1,1
119,287,50,RL,NAmes,1.5Fin,6,1962,1981,Wd Sdng,Wd Sdng,None,CBlock,TA,Rec,1734,7,1,Attchd,RFn,2,440,159000,0,0,1,0
120,288,20,RL,NAmes,1Story,4,1971,1971,HdBoard,HdBoard,None,CBlock,TA,BLQ,858,5,0,Attchd,Unf,0,0,88000,0,0,1,1
121,301,190,RL,Crawfor,1Story,5,1953,1953,MetalSd,MetalSd,BrkFace,CBlock,TA,BLQ,1336,5,2,Attchd,Unf,1,375,157000,1,0,1,1
122,355,50,RL,SWISU,1.5Fin,6,1940,2000,Wd Sdng,MetalSd,None,CBlock,TA,LwQ,1595,6,2,Attchd,Unf,1,240,140000,1,0,1,1
123,360,60,RL,NoRidge,2Story,8,1998,1998,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1924,7,1,Attchd,RFn,2,592,280000,1,1,0,0
124,449,50,RM,IDOTRR,1.5Fin,6,1937,1950,MetalSd,MetalSd,None,BrkTil,TA,Unf,1376,7,1,Detchd,Unf,1,198,119500,0,1,1,1
125,451,30,RM,OldTown,1Story,6,1930,2005,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,813,5,0,Detchd,Unf,1,270,110000,0,0,1,0
126,601,60,RL,NridgHt,2Story,8,2005,2005,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1904,8,1,BuiltIn,Fin,2,736,275000,1,1,0,0
127,617,60,RL,Gilbert,2Story,6,2002,2003,VinylSd,VinylSd,None,PConc,Gd,GLQ,1509,7,1,Attchd,Fin,2,393,183200,1,1,0,0
128,631,70,RM,OldTown,2Story,5,1880,1991,VinylSd,VinylSd,None,BrkTil,Fa,Unf,1750,8,0,Detchd,Unf,1,240,124000,0,0,1,0
129,673,20,RL,Veenker,1Story,6,1977,1977,Plywood,Plywood,None,CBlock,Gd,ALQ,1208,6,1,Attchd,RFn,2,546,165000,0,0,0,1
130,697,30,RM,BrkSide,1Story,5,1921,1950,Wd Sdng,Wd Shng,None,CBlock,TA,LwQ,616,4,0,Detchd,Unf,1,205,89000,0,0,1,1
131,738,60,RL,Gilbert,2Story,8,2005,2005,VinylSd,VinylSd,None,PConc,Gd,Unf,1801,8,1,Attchd,Fin,3,800,239900,1,1,0,0
132,778,20,RL,Sawyer,1Story,5,1974,1974,HdBoard,Plywood,None,CBlock,TA,ALQ,894,5,1,Attchd,Unf,2,440,142500,1,0,1,1
133,805,20,RL,NAmes,1Story,5,1954,1954,Wd Sdng,Wd Sdng,None,CBlock,TA,LwQ,1128,5,0,Attchd,Unf,1,286,118000,1,0,1,1
134,809,80,RL,NAmes,SLvl,5,1966,1966,VinylSd,VinylSd,BrkFace,CBlock,TA,ALQ,1086,6,1,Attchd,RFn,2,484,159950,1,0,1,1
135,825,20,FV,Somerst,1Story,8,2006,2006,VinylSd,VinylSd,None,PConc,Gd,Unf,1489,7,1,Attchd,RFn,2,776,232600,1,1,0,0
136,832,160,FV,Somerst,2Story,7,2005,2005,MetalSd,MetalSd,None,PConc,Gd,Unf,1200,4,0,Detchd,RFn,2,480,151000,1,1,1,0
137,887,90,RL,NAmes,1Story,5,1959,2005,MetalSd,MetalSd,BrkFace,CBlock,TA,LwQ,1712,8,0,Attchd,Fin,2,588,145000,1,1,1,1
138,900,20,RL,Sawyer,1Story,5,1961,1994,HdBoard,Plywood,None,CBlock,TA,BLQ,1236,6,1,Attchd,Unf,1,288,135000,0,0,1,1
139,908,50,RL,Crawfor,1.5Fin,7,1936,1987,BrkFace,BrkFace,None,CBlock,Gd,Rec,2057,6,1,Attchd,Fin,1,180,250000,0,0,0,0
140,909,20,RL,Mitchel,1Story,5,1983,1983,HdBoard,HdBoard,None,CBlock,Gd,BLQ,902,5,0,Attchd,Unf,2,484,131000,1,0,1,1
141,936,30,RL,BrkSide,1Story,4,1926,1953,MetalSd,MetalSd,BrkFace,PConc,Fa,Unf,747,5,0,Detchd,Unf,2,528,79900,1,0,1,1
142,987,50,RM,OldTown,1.5Fin,6,1910,2003,VinylSd,VinylSd,None,CBlock,TA,Unf,1635,5,0,Attchd,Unf,1,255,117000,0,0,1,0
143,991,60,RL,NoRidge,2Story,8,1997,1998,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,2392,7,1,Attchd,Fin,3,870,348000,1,1,0,0
144,1010,50,RL,SWISU,1.5Fin,5,1926,1950,Wd Sdng,Wd Sdng,None,BrkTil,TA,Unf,1522,7,0,Attchd,Unf,0,0,102000,1,1,1,1
145,1057,120,RL,NridgHt,1Story,7,2005,2005,VinylSd,VinylSd,Stone,PConc,Gd,GLQ,1364,6,1,Attchd,RFn,2,484,185850,1,1,0,0
146,1069,160,RM,MeadowV,2Story,6,1973,1973,CemntBd,CmentBd,None,CBlock,Gd,ALQ,2521,10,1,Attchd,Fin,2,576,151400,0,1,1,1
147,1184,30,RL,OldTown,1Story,5,1920,1950,Stucco,Stucco,None,BrkTil,TA,Rec,1130,5,1,Detchd,Unf,2,720,120000,0,0,1,1
148,1245,70,RL,Crawfor,2Story,8,1929,1950,BrkFace,Stucco,None,PConc,Gd,Unf,1517,7,2,Detchd,Unf,2,400,230000,0,0,1,0
149,1288,20,RL,ClearCr,1Story,5,1964,1964,Wd Sdng,Wd Sdng,BrkCmn,CBlock,TA,Rec,1582,7,0,Attchd,Unf,2,390,190000,1,1,1,1
150,1298,180,RM,Edwards,SFoyer,6,2005,2006,VinylSd,VinylSd,BrkFace,PConc,Gd,GLQ,1072,5,0,Basment,Fin,2,525,140000,1,1,1,1
151,1330,60,RL,Gilbert,2Story,7,1998,1998,VinylSd,VinylSd,None,PConc,Gd,Unf,1632,8,1,Attchd,Fin,2,462,176500,1,1,1,1
152,1339,60,RL,CollgCr,2Story,7,2002,2002,VinylSd,VinylSd,None,PConc,Gd,GLQ,1861,8,0,BuiltIn,RFn,2,492,200000,1,1,0,0
153,1340,20,RL,CollgCr,1Story,5,1972,1972,MetalSd,MetalSd,None,CBlock,TA,Rec,864,5,0,Attchd,RFn,1,288,128500,0,0,1,1
154,1347,20,RL,NWAmes,1Story,7,1968,2003,BrkFace,HdBoard,None,CBlock,TA,BLQ,2156,9,1,Attchd,RFn,2,508,262500,0,1,1,1
155,1373,60,RL,CollgCr,2Story,7,1998,1998,VinylSd,VinylSd,None,PConc,Gd,GLQ,2097,8,1,Detchd,RFn,2,583,274300,0,1,1,0
